Property Name,Property Number,Site Name,Site ID,Borough,Community Board,Drinking Fountains
BUSHWICK GREEN,B395,Green Central Knoll,B395,B,304,3
BROWNSVILLE I URA NEHEMIAH PK,B396,Nehemiah Park,B396,B,316,1
CARTER G. WOODSEN CHILDREN' S PARK,B397,Carter G. Woodson Children's Park,B397,B,316,1
GRAND FERRY PARK,B401,Grand Ferry Park,B401,B,301,1
GEORGE WALKER JR PARK,B402,George Walker Jr. Park,B402,B,305,2
EAST FLATBUSH CHILDREN'S PARK,B404,East Flatbush Children's Park,B404,B,317,1
EPIPHANY PLGD,B405,Epiphany Playground,B405,B,301,1
SOUTH OXFORD PARK,B407,South Oxford Park,B407,B,302,1
LOUIS J VALENTINO JR PARK AND PIER,B418,Valentino Pier,B418,B,306,1
SUTTER AVE BALLFIELD,B419,Sutter Ballfields,B419,B,305,3
BUSHWICK BALLFIELDS,B429,Hope Ballfield,B429,B,304,2
LEWIS PLAYGROUND (Father Strouse),B430,Lewis Playground,B430,B,303,1
BROOKLYN BRIDGE PARK,B431,Brooklyn Bridge Park Playground,B431-01,B,302-306,1
BROOKLYN BRIDGE PARK,B431,Brooklyn Bridge Park Zone 6,B431-ZN06,B,302-306,5
BUSHWICK INLET PARK,B529,Bushwick Inlet Park,B529,B,301,5
HOLOCAUST MEMORIAL PARK,BT10,Holocaust Memorial Park,BT10,B,315,1
BUSH TERMINAL PIERS PARK,BT15,Bush Terminal Park,BT15,B,307,7
WEINBURG TRIANGLE,BZ08,GREENSTREET,BZ08,B,NULL,1
BABI YAR TRIANGLE,BZ10,Babi Yar Triangle,BZ10,B,NULL,1
ABINGDON SQUARE (T),M001,Abingdon Square,M001,M,102,1
ANNUNCIATION PARK,M003,Annunciation Park,M003,M,109,1
ALLEN ST MALL,M004,Allen Mall One,M004,M,103,2
BATTERY PARK,M005,Battery Park Zone 1,M005-ZN01,M,101,4
BATTERY PARK,M005,Battery Park Zone 2,M005-ZN02,M,101,6
TRIBECA PARK,M006,Tribeca Park,M006,M,101,1
BRYANT PARK,M008,Bryant Park,M008,M,105,4
BENNETT PARK,M009,Bennett Park,M009,M,112,1
CENTRAL PARK,M010,Heckscher Plgd,M010-031,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,Billy Johnson Plgd,M010-048,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,East 72nd St Plgd,M010-059,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Adventure Playground,M010-089,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,West 68th St Plgd,M010-090,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,James Michael Levin Plgd,M010-103,M,110-111-107-105-108-106,4
CENTRAL PARK,M010,Pat Hoffman Friedman Plgd,M010-143,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Ancient Plgd,M010-145,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Great Lawn Plgd,M010-151,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Diana Ross Plgd,M010-164,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Mariner's Gate Plgd,M010-167,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Spector Plgd,M010-169,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,East 96th St Plgd,M010-176,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Safari Plgd,M010-187,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Wild West Plgd,M010-188,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Rudin Plgd,M010-193,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Bendheim Plgd,M010-195,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,West 100th St Plgd,M010-202,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Bernard Plgd,M010-207,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,110th St Plgd,M010-241,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,110th St & Lenox Ave Plgd,M010-247,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Wien Walk And Arsenal,M010-ZN01,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,Hallett Nature Sanctuary And Pond,M010-ZN02&4,M,110-111-107-105-108-106,5
CENTRAL PARK,M010,Wollman Rink,M010-ZN03,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Dairy- Chess & Checkers House- Carousel,M010-ZN05,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,Heckscher Ballfields & Playground,M010-ZN06,M,110-111-107-105-108-106,8
CENTRAL PARK,M010,Central Park South,M010-ZN07,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Central Park West,M010-ZN08,M,110-111-107-105-108-106,4
CENTRAL PARK,M010,Central Park West,M010-ZN09,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Sheep Meadow,M010-ZN10&11,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,The Mall And Rumsey Playfield,M010-ZN12&13,M,110-111-107-105-108-106,6
CENTRAL PARK,M010,North Of The Arsenal,M010-ZN14,M,110-111-107-105-108-106,4
CENTRAL PARK,M010,Wallach Walk And East Green,M010-ZN15,M,110-111-107-105-108-106,6
CENTRAL PARK,M010,Pilgrim Hill & Conservatory Water,M010-ZN16,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,Cedar Hill,M010-ZN17,M,110-111-107-105-108-106,5
CENTRAL PARK,M010,The Ramble,M010-ZN18&19,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Bethesda Terrace,M010-ZN20,M,110-111-107-105-108-106,4
CENTRAL PARK,M010,Belvdre. Cstl.- Turtle Pond- Shkspr Grdn,M010-ZN24&25,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,The Metropolitan Museum Of Art,M010-ZN26,M,110-111-107-105-108-106,4
CENTRAL PARK,M010,Great Lawn And Cleopatra's Needle,M010-ZN27,M,110-111-107-105-108-106,5
CENTRAL PARK,M010,Ross Pinetum,M010-ZN28,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,79th St Yard And Summit Rock,M010-ZN29,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,Central Park West,M010-ZN30,M,110-111-107-105-108-106,4
CENTRAL PARK,M010,Reservoir Running Track & Landscape,M010-ZN31,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Reservoir (Southeast),M010-ZN32,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Reservoir (Northeast),M010-ZN33,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,Reservoir (Northwest),M010-ZN34,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,Central Park West,M010-ZN35,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,North Meadow Recreation Center,M010-ZN36,M,110-111-107-105-108-106,3
CENTRAL PARK,M010,North Meadow,M010-ZN37,M,110-111-107-105-108-106,8
CENTRAL PARK,M010,East Meadow,M010-ZN38,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Conservatory Gardens West Landscape,M010-ZN39,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,Conservatory Garden,M010-ZN40,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,Frawleys' Run,M010-ZN42&43,M,110-111-107-105-108-106,4
CENTRAL PARK,M010,Northwest Corner,M010-ZN44,M,110-111-107-105-108-106,1
CENTRAL PARK,M010,The Great Hill,M010-ZN46,M,110-111-107-105-108-106,2
CENTRAL PARK,M010,The Pool,M010-ZN48,M,110-111-107-105-108-106,2
CHELSEA PARK,M011,Chelsea Park,M011,M,104,4
CITY HALL PARK,M013,City Hall Park,M013,M,101,4
JACKIE ROBINSON PARK,M014,Jackie Robinson Park,M014,M,109-110,2
JACKIE ROBINSON PARK,M014,Plgd One Fifty Two CLII,M014-02,M,109-110,2
JACKIE ROBINSON PARK,M014,Playground One Forty Nine- CIL,M014-03,M,109-110,2
COLUMBUS PARK,M015,Columbus Park,M015,M,103,9
CORLEARS HOOK PARK,M017,Corlears Hook Park,M017,M,103,2
CARMANSVILLE PLAYGROUND,M018,Carmansville Park,M018,M,109,2
COLEMAN SQUARE PLAYGROUND,M019,Coleman Playground,M019,M,103,4
DE WITT CLINTON PARK,M022,De Witt Clinton Park,M022,M,104,8
DOWNING PLAYGROUND,M027,Downing Street Playground,M027,M,102,1
FORT WASHINGTON PARK,M028,Lily Brown Playground,M028-02,M,112,1
FORT WASHINGTON PARK,M028,Discovery Playground,M028-03,M,112,4
FORT WASHINGTON PARK,M028,Fort Washington Park Zone 1A,M028-ZN01A,M,112,4
FORT WASHINGTON PARK,M028,Fort Washington Park Zone 2A,M028-ZN02A,M,112,4
FORT TRYON PARK,M029,Anne Loftus Plgd,M029-02,M,112,2
FORT TRYON PARK,M029,Fort Tryon Park Zone 1,M029-ZN01,M,112,2
FORT TRYON PARK,M029,Fort Tryon Park Zone 2,M029-ZN02,M,112,4
FORT TRYON PARK,M029,Fort Tryon Park Zone 3,M029-ZN03,M,112,3
FORT TRYON PARK,M029,Fort Tryon Park Zone 4,M029-ZN04,M,112,2
FORT TRYON PARK,M029,Fort Tryon Park Zone 5,M029-ZN05,M,112,2
FORT TRYON PARK,M029,Fort Tryon Park Zone 6,M029-ZN06,M,112,1
THOMAS PAINE PARK,M030,Thomas Paine Park,M030,M,101,2
GORMAN MEMORIAL PARK,M031,Gorman Park,M031,M,112,1
GREELEY SQUARE,M032,Greeley Square Park,M032,M,105,1
HAMILTON FISH PARK,M033,Hamilton Fish Park,M033,M,103,2
HIGHBRIDGE PARK,M037,Sunken Plgd,M037-01,M,110-112,1
HIGHBRIDGE PARK,M037,Quisqueya Plgd,M037-03,M,110-112,1
HIGHBRIDGE PARK,M037,Wallenberg Plgd,M037-04,M,110-112,3
HIGHBRIDGE PARK,M037,CPF Plgd,M037-05B,M,110-112,1
HIGHBRIDGE PARK,M037,Coogan's Bluff,M037-08,M,110-112,1
HIGHBRIDGE PARK,M037,Ft George Plgd,M037-09,M,110-112,1
HIGHBRIDGE PARK,M037,Adventure Plgd,M037-10,M,110-112,1
HIGHBRIDGE PARK,M037,Dyckman Sitting Area,M037-11,M,110-112,1
HIGHBRIDGE PARK,M037,Highbridge Park Zone 2,M037-ZN02,M,110-112,3
HIGHBRIDGE PARK,M037,Highbridge Park Zone 3,M037-ZN03,M,110-112,3
HIGHBRIDGE PARK,M037,Highbridge Park Zone 4,M037-ZN04,M,110-112,3
JAMES J WALKER PARK,M038,James J Walker Park,M038,M,102,2
HARLEM RIVER PARK,M039,Harlem River Park Zone 1,M039-ZN01,M,110-111-112,6
ALEXANDER HAMILTON PLGD,M041,Alexander Hamilton Playground,M041,M,109,2
INWOOD HILL PARK,M042,Payson Plgd,M042-01,M,112,1
INWOOD HILL PARK,M042,Emerson Plgd,M042-02,M,112,1
INWOOD HILL PARK,M042,Indian Road Plgd,M042-03,M,112,2
INWOOD HILL PARK,M042,Inwood Hill Park Zone 1,M042-ZN01,M,112,7
INWOOD HILL PARK,M042,Inwood Hill Park Zone 2,M042-ZN02,M,112,1
INWOOD HILL PARK,M042,Inwood Hill Park Zone 4 (Dyckman Fields),M042-ZN04,M,112,4
ISHAM PARK,M043,Isham Park Zone 2,M043-ZN02,M,112,2
JACKSON SQUARE (T),M044,Jackson Square,M044,M,102,1
JOHN JAY PARK & POOL,M045,John Jay Park,M045,M,108,5
THOMAS JEFFERSON PARK,M047,Thomas Jefferson Park,M047,M,111,8
MADISON SQUARE PARK,M052,Madison Square Park,M052,M,105,1
MADISON SQUARE PARK,M052,Madison Square Park,M052-02,M,105,2
THEODORE ROOSEVELT PARK,M053,Theodore Roosevelt Park,M053,M,107,2
MITCHEL SQUARE,M054,Mitchel Square,M054,M,112,1
MORNINGSIDE PARK,M056,Playground 123,M056-01,M,109,5
MORNINGSIDE PARK,M056,Morningside Plgd,M056-02,M,109,1
MORNINGSIDE PARK,M056,Morningside Park Zone 1,M056-ZN01,M,109,2
MORNINGSIDE PARK,M056,Morningside Park Zone 2,M056-ZN02,M,109,2
MARCUS GARVEY MEMORIAL PARK,M058,Marcus Garvey Memorial Park,M058-06,M,111,1
MARCUS GARVEY MEMORIAL PARK,M058,Marcus Garvey Memorial Park,M058-07,M,111,1
MARCUS GARVEY MEMORIAL PARK,M058,Marcus Garvey Park Zone 1,M058-ZN01,M,111,1
MARCUS GARVEY MEMORIAL PARK,M058,Marcus Garvey Park Zone 2,M058-ZN02,M,111,4
MURPHY'S BROTHER'S PLGD,M059,Murphy Brothers Playground,M059,M,106,3
Park Avenue Malls,M060C,Park Avenue Malls Sitting Area,M060C-01,M,108-111,1
Gertrude Ederle Recreation Center,M063,Gertrude Ederle Recreation Center,M063,M,107,1
LILLIAN D WALD PLAYGROUND,M064,Lillian D Wald Playground,M064,M,103,2
LUTHER GULICK PLGD,M065,Luther Gulick Park,M065,M,103,1
DR GERTRUDE B KELLY PLGD,M066,Dr. Gertrude B. Kelly Playground,M066,M,104,2
LOEB PLGD,M067,Sophie Irene Loeb,M067,M,103,1
VESUVIO PLAYGROUND,M069,Vesuvio Playground,M069,M,102,3
PARK (QUEENSBORO OVAL),M070,Queensboro Oval,M070,M,108,2
RIVERSIDE PARK,M071,Neufeld Plgd,M071-04,M,107-109,3
RIVERSIDE PARK,M071,River Run Plgd,M071-08,M,107-109,1
RIVERSIDE PARK,M071,Hippo Plgd,M071-13,M,107-109,1
RIVERSIDE PARK,M071,Dinosaur Plgd,M071-16,M,107-109,2
RIVERSIDE PARK,M071,Claremont,M071-31,M,107-109,1
RIVERSIDE PARK,M071,Tot Lot One Hundred Five,M071-34,M,107-109,1
RIVERSIDE PARK,M071,South Lawn,M071-ZN01,M,107-109,2
RIVERSIDE PARK,M071,Running Track And 78th St. Ballfields,M071-ZN02,M,107-109,3
RIVERSIDE PARK,M071,Waterfront Landscape To 89 St.,M071-ZN04,M,107-109,1
RIVERSIDE PARK,M071,Mt. Tom Landscape,M071-ZN05,M,107-109,1
RIVERSIDE PARK,M071,Serpentine Promenade,M071-ZN06,M,107-109,1
RIVERSIDE PARK,M071,Soldiers & Sailors Monument RSD Sidewalk,M071-ZN07,M,107-109,1
RIVERSIDE PARK,M071,Terrace Promenade South,M071-ZN14,M,107-109,2
RIVERSIDE PARK,M071,Terrace Promenade North,M071-ZN15,M,107-109,4
RIVERSIDE PARK,M071,Middle Park Landscape,M071-ZN16,M,107-109,5
RIVERSIDE PARK,M071,Wildlife Sanct. & 119 St Tennis Courts,M071-ZN17,M,107-109,3
RIVERSIDE PARK,M071,101st St. Soccer Field,M071-ZN18,M,107-109,1
RIVERSIDE PARK,M071,104th St. Softball Field,M071-ZN19,M,107-109,2
RIVERSIDE PARK,M071,108th St. Softball Field,M071-ZN21,M,107-109,2
RIVERSIDE PARK,M071,Skate Park And Basketball Courts,M071-ZN22,M,107-109,2
RIVERSIDE PARK,M071,96th St Tennis Courts And Landscape,M071-ZN23,M,107-109,1
RIVERSIDE PARK,M071,Riverside Dr. Pedestrian Zone E,M071-ZN25,M,107-109,1
RIVERSIDE PARK,M072,Riverbank Plgd,M072-01,M,109,1
RIVERSIDE PARK,M072,Riverside Dr. Pedestrian Zone F,M072-ZN26,M,109,2
RIVERSIDE PARK,M072,Riverside Dr. Pedestrian Zone G,M072-ZN27,M,109,1
RIVERSIDE PARK,M072,147 St Softball & N Waterfront Landscape,M072-ZN28,M,109,2
ST VARTAN PARK,M076,St. Vartan Park,M076,M,106,1
ST NICHOLAS PARK,M077,St Nicholas,M077-02,M,109,3
ST NICHOLAS PARK,M077,Arlington Edinboro Playground,M077-03,M,109,2
ST NICHOLAS PARK,M077,St Nicholas,M077-04,M,109,4
ST CATHERINES PARK,M079,St. Catherine's Park,M079,M,108,3
CARL SCHURZ PARK,M081,Catbird Playground,M081-02,M,108,2
CARL SCHURZ PARK,M081,Carl Schurz Main Lawn,M081-ZN01,M,108,2
CARL SCHURZ PARK,M081,Carl Schurz Promenade,M081-ZN02,M,108,3
WILLIAM H SEWARD PARK,M082,Seward Park,M082,M,103,4
SAKURA PARK,M087,Sakura Park,M087,M,109,2
TOMPKINS SQUARE PARK,M088,Tompkins Square Park,M088,M,103,8
TOMPKINS SQUARE PARK,M088,Tompkins Square Park,M088-01,M,103,2
TOMPKINS SQUARE PARK,M088,Tompkins Square Park,M088-03,M,103,2
UNION SQUARE,M089,Union Square Park,M089,M,105,4
UNION SQUARE,M089,Union Square,M089-01,M,105,2
WASHINGTON SQUARE PARK,M098,Washington Square Park,M098-01,M,102,1
WASHINGTON SQUARE PARK,M098,Washington Square Park,M098-02,M,102,1
WASHINGTON SQUARE PARK,M098,Washington Square Park Western Half,M098-ZN01,M,102,5
WASHINGTON SQUARE PARK,M098,Washington Square Park Eastern Half,M098-ZN02,M,102,5
J HOOD WRIGHT PARK,M099,J. Hood Wright Park,M099,M,112,3
J HOOD WRIGHT PARK,M099,J Hood Wright Park,M099-01,M,112,1
RANDALLS ISLAND,M104,Bronx Shore,M104-ZN01,M,111,2
RANDALLS ISLAND,M104,Sunken Meadow,M104-ZN02,M,111,13
RANDALLS ISLAND,M104,Stadium Area,M104-ZN03,M,111,5
RANDALLS ISLAND,M104,Central Spine,M104-ZN04,M,111,1
SARA D ROOSEVELT PARK,M105,Sara D. Roosevelt Park,M105,M,103,5
SARA D ROOSEVELT PARK,M105,Houston St Plgd,M105-01,M,103,2
SARA D ROOSEVELT PARK,M105,Hester St Plgd,M105-08,M,103,2
WARDS ISLAND,M107,Scylla Playground,M107-01,M,111,1
WARDS ISLAND,M107,Wards Waterfront,M107-ZN05,M,111,2
WARDS ISLAND,M107,Wards Meadow,M107-ZN06,M,111,2
WARDS ISLAND,M107,East River Fields,M107-ZN07,M,111,2
PLAYGROUND 103,M108G,Playground 103 CIII,M108G,M,111,2
PETER DETMOLD PARK,M108N,Peter Detmold Park,M108N,M,106,1
SUTTON PLACE PK,M108P,Sutton Place Park,M108P-03,M,106,1
24 SYCAMORES,M108Q,Twenty-Four Sycamores Park,M108Q,M,108,3
WILLIAM MCCRAY PLAYGROUND,M110,William McCray Playground,M110,M,110,1
JAMES WELDON JOHNSON PLGD,M111,James Weldon Johnson Playground,M111,M,111,1
JOSEPH C SAUER PLGD,M113,Joseph C. Sauer Park,M113,M,103,2
ABC PLAYGROUND,M116,ABC Playground,M116,M,103,1
WILLIAM PASSANNANTE BALLFIELD,M120A,William F. Passannante Ballfield,M120A,M,102,1
PLGD OF THE AMERICAS,M120B,Playground of the Americas,M120B,M,102,1
RECREATION AREA (FIRST PARK),M124,First Park,M124,M,103,2
MINETTA PLGD,M125B,Minetta Playground,M125B,M,102,1
4TH STREET COURTS,M125C,West 4th Street Courts,M125C,M,102,1
LITTLE FLOWER PLGD,M132,Little Flower Playground,M132,M,103,3
PLAYGROUND (BILL ROBINSON),M138,Bill Bojangles Robinson Playground,M138,M,110,1
RIVERSIDE PARK,M140,Ten Mile River Plgd,M140-01,M,109-112,1
HARLEM LANE PARK PLGD,M141,Harlem Lane Playground,M141,M,110,2
John V. Lindsay - East River Park,M144,East River Playground,M144-01,M,103,1
John V. Lindsay - East River Park,M144,East River Park Zone 1,M144-ZN01,M,103,2
John V. Lindsay - East River Park,M144,East River Park Zone 2,M144-ZN02,M,103,9
John V. Lindsay - East River Park,M144,East River Park Zone 3,M144-ZN03,M,103,4
John V. Lindsay - East River Park,M144,East River Park Zone 4,M144-ZN04,M,103,7
John V. Lindsay - East River Park,M144,East River Park Zone 5,M144-ZN05,M,103,4
John V. Lindsay - East River Park,M144,East River Park Zone 6,M144-ZN06,M,103,8
ALBERT CAPSOUTO PARK,M145,Albert Capsouto Park,M145,M,101,1
WHITE PLGD,M148,White Park,M148,M,111,2
MATTHEWS-PALMER PLAYGROUND,M154,Mathews - Palmer Playground,M154,M,104,1
COURTNEY CALLENDER PLGD,M155,Courtney Callender Playground,M155,M,110,2
ROBERT MOSES PLGD,M158,Robert Moses Playground,M158,M,106,2
FREDERICK JOHNSON PARK,M159,Frederick Johnson Playground,M159,M,110,5
FREDERICK E. SAMUEL PLGD,M160,Fred Samuel Playground,M160,M,110,2
MCCAFFREY PLAYGROUND,M161,McCaffrey Playground,M161,M,104,4
PUBLIC BATH (ASSER LEVY),M164,Asser Levy Playground,M164,M,106,5
BARUCH PLGD,M165,Baruch Playground,M165,M,103,2
PETROSINO SQUARE,M170,Petrosino Square,M170,M,102,1
CHERRY CLINTON PLGD,M171,Cherry Clinton Playground,M171,M,103,1
CATHERINE SLIP MALLS,M178,Catherine Slip Malls,M178,M,103,1
SAMUEL N BENNERSON 2ND PLGD,M184,Samuel N. Bennerson 2nd Playground,M184,M,107,2
COL CHARLES YOUNG PLGD,M186,Col. Young Playground,M186,M,110,6
MARX BROTHERS PLAYGROUND,M187,Marx Brothers Playground,M187,M,111,1
SHELTERING ARMS PARK,M190,Sheltering Arms Playground,M190,M,109,2
STANLEY M ISAACS PARK,M192,Stanley Isaacs Playground,M192,M,108-111,2
LINCOLN PLGD,M193,Abraham Lincoln Playground,M193,M,111,2
ALFRED E SMITH PARK,M194,Alfred E. Smith Playground,M194,M,103,2
SIDNEY HILLMAN PLGD,M195,Sidney Hillman Playground,M195,M,103,1
PS 1 PLGD (ALFRED SMITH),M196,Playground One,M196,M,103,2
MARTIN LUTHER KING PLGD,M198,Martin Luther King Jr. Park,M198,M,110,1
MSGNR. KETT,M199,Monsignor Kett Playground,M199,M,112,3
BOOKER T WASHINGTON,M200,Booker T. Washington Playground,M200,M,107,2
PLAYGROUND (LILLIAN WALD),M201,Wald Playground,M201,M,103,1
HAMMARSKJOLD PLAZA,M203C,Dag Hammarskjold Plaza,M203C,M,106,1
MOORE PLGD,M204,Moore Playground,M204,M,111,2
PS 125 PLAYGROUND,M205,Playground One Twenty Five CXXV,M205,M,109,1
MARTIN F TANAHEY PLAYGROUND,M206,Tanahey Playground,M206,M,103,3
FATHER FAGAN PARK,M207,Father Fagan Park,M207,M,102,1
HARLEM RIVER PARK,M208A,Alice Kornegay Triangle,M208A,M,111,1
HARLEM RIVER PARK,M208C,Harlem River Park,M208C,M,111,1
HARLEM RIVER PARK,M208D,Each One Teach One,M208D-01,M,111,3
HARLEM RIVER PARK,M208D,Harlem River Park,M208D-02,M,111,2
HARLEM RIVER PARK,M208E,Crack Is Wack Playground,M208E,M,111,2
ST NICHOLAS PARK SOUTH,M211A,St. Nicholas Playground South,M211A,M,110,2
ST NICHOLAS PARK NORTH,M211B,St. Nicholas Playground North,M211B,M,110,2
MAE GRANT PLGD,M213,Mae Grant Playground,M213,M,111,1
CHERRY TREE PLGD,M215,Cherry Tree Park,M215,M,111,1
PS 156 HOLCOMBE RUCKER PLGD,M216,Holcombe Rucker Park,M216,M,110,4
HOWARD BENNETT PLGD,M217,Howard Bennett Playground,M217,M,110,3
DE SALVIO PLGD,M218,DeSalvio Playground,M218,M,102,1
TECUMSEH PLGD,M219,Tecumseh Playground,M219,M,107,3
FREDERICK DOUGLASS PLGD,M220,Frederick Douglass Playground,M220,M,107,3
GRAND & CANAL COURTS,M222,Grand Canal Court,M222,M,102,1
JACOB SCHIFF PLGD (PS 192),M223,Jacob H. Schiff Playground,M223,M,109,4
WAGNER PLGD,M225,Wagner Playground,M225,M,111,2
AUGUSTUS ST GAUDENS,M226,Augustus St. Gaudens Playground,M226,M,106,1
PETERS FIELD,M227,Peter's Field,M227,M,106,1
HENRY JACKSON PLGD,M228,Henry M. Jackson Playground,M228,M,103,1
POOR RICHARD'S PLGD,M230,Poor Richard's Playground,M230,M,111,3
PLAYGROUND 70,M233,Matthew P. Sapolin Playground,M233,M,107,1
WRIGHT BROTHERS PARK,M234,Wright Brothers Playground,M234,M,112,4
SOL LAIN PLGD,M235,Sol Lain Plgd,M235,M,103,1
SAMUEL SEABURY PLGD (PS 198),M236,Samuel Seabury Playground,M236,M,108,4
CORPORAL JOHN A SERAVALLI PLGD,M237,Corporal John A. Seravalli Playground,M237,M,102,3
BLOOMINGDALE PLGD,M238,Bloomingdale Playground,M238,M,107,1
PS 155 PLAYGROUND,M239,P.S. 155 Playground,M239,M,111,1
AUDUBON PLGD,M240,Audubon Playground,M240,M,112,3
NATHAN STRAUS PLGD (PS 140),M241,Nathan Straus Playground,M241,M,103,1
COLLECT POND,M242,Collect Pond Park,M242,M,101,2
EUGENE MCCABE FIELD,M243,Eugene McCabe Field,M243,M,111,1
SOL  BLOOM PLGD,M244,Sol Bloom Playground,M244,M,107,2
PS 194 PLAYGROUND,M245,Renaissance Playground,M245,M,110,2
BLEECKER PLAYGROUND,M251,Bleecker Playground,M251,M,102,2
JAMES MADISON PLZ,M255,James Madison Plaza,M255,M,103,1
GEN DOUGLAS MACARTHUR PARK,M256,MacArthur Park,M256,M,106,1
CLEMENT CLARKE MOORE PARK,M257,Clement Clarke Moore Park,M257,M,104,1
EAST RIVER PLGD,M258,East River Playground,M258,M,111,1
MCKINLEY PLGD,M259,McKinley Playground,M259,M,103,1
BELLEVUE SOUTH PARK,M263,Bellevue South Park,M263,M,106,3
89TH ST PLGD,M264,Playground Eighty Nine LXXXIX,M264,M,107,1
ALBANO PLGD,M265,Vincent F. Albano Jr. Playground,M265,M,106,2
DRY DOCK PLAYGROUND,M270,Dry Dock Playground,M270,M,103,2
OTHMAR AMMANN PLAYGROUND,M273,Othmar Ammann Playground,M273-01,M,111,1
HELLS KITCHEN PARK,M277,Hell's Kitchen Park,M277,M,104,3
GEO SOILAN PK-BATTERY PK CITY,M283,Nelson Rockefeller Park Playground North,M283-01,M,101,1
GEO SOILAN PK-BATTERY PK CITY,M283,Nelson Rockefeller Playground,M283-02,M,101,2
GEO SOILAN PK-BATTERY PK CITY,M283,Nelson Rockefeller Park Playground South,M283-03,M,101,2
GEO SOILAN PK-BATTERY PK CITY,M283,Battery Park City Zone 1,M283-ZN01,M,101,6
GEO SOILAN PK-BATTERY PK CITY,M283,Battery Park City Zone 2,M283-ZN02,M,101,6
MCNAIR PARK,M285,Dr. Ronald E. McNair Playground,M285,M,111,2
ASPHALT GREEN,M286,DeKovats Playground,M286-01,M,108,2
RAMON APONTE PARK,M288,Ramon Aponte Park,M288,M,104,2
RUPPERT PARK,M294,Ruppert Park,M294,M,108,2
MERCER ST. PLAYGROUND,M295,Mercer Playground,M295,M,102,2
SHERMAN CREEK PARK,M300,Sherman Creek,M300,M,112,1
WASHINGTON MARKET PARK,M308,Washington Market Park,M308,M,101,2
Riverside Park South,M353,Little Engine Playground,M353-01,M,107,1
Riverside Park South,M353,South Waterfront West Side,M353-ZN01,M,107,1
Riverside Park South,M353,South Waterfront East Side,M353-ZN02,M,107,2
Riverside Park South,M353,South Waterfront Bike Path,M353-ZN03,M,107,4
BRADHURST URBAN RENEWAL PARK,M355,Robert L. Clinkscales Playground and Community Garden,M355,M,110,2
THE HIGH LINE,M360,The High Line Zone 1,M360-ZN01,M,102-104,3
THE HIGH LINE,M360,The High Line Zone 2,M360-ZN02,M,102-104,3
West Harlem Piers,M376,West Harlem Piers,M376,M,109,3
Pearl St Playground,M378,Pearl St Playground,M378,M,101,2
CANAL PARK,M379,Canal Park,M379,M,101,1
DeLury Square,M385,DeLury Square,M385,M,101,1
Imagination Playground,M386,Imagination Playground,M386,M,101,2
East River Waterfront Esplanade,M391,East River Waterfront Esplanade Zone 1,M391-ZN01,M,101-103,3
FOREST PARK,Q015,Greenhouse Playground,Q015-05,Q,305-405-406-409,2
East River Waterfront Esplanade,M391,East River Waterfront Esplanade Zone 2,M391-ZN02,M,101-103,4
GREENSTREET,MZ226,GREENSTREET,MZ226,M,NULL,1
ALLEY POND PARK,Q001,Horatio Playground,Q001-04,Q,411,2
ALLEY POND PARK,Q001A,Alley Athletic Playground,Q001A-01,Q,413,1
ALLEY POND PARK,Q001,Alley Pond Park Zone 1,Q001-ZN01,Q,411,4
